Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1573.159830804936
FDW14,OUT017,1463.2258933781911
NCN55,OUT010,574.0244653082773
FDQ58,OUT017,2507.3260610212747
FDY38,OUT027,5828.06870010192
FDH56,OUT046,1959.4832682697256
FDL48,OUT018,734.7597684247849
FDC48,OUT027,2214.8359492459185
FDN33,OUT045,1526.4332035588131
FDA36,OUT017,3060.1106054080306
FDT44,OUT017,1971.5960944385752
FDQ56,OUT045,1440.1422810585748
NCC54,OUT019,574.1939322309338
FDU11,OUT049,2016.492560111249
DRL59,OUT013,832.0144353505971
FDM24,OUT049,2492.6238157810526
FDI57,OUT045,3086.4456997578213
DRC12,OUT018,3058.16962625462
NCM42,OUT027,2931.3800034141605
FDA46,OUT010,514.5546906464909
FDA31,OUT013,2842.178700072147
NCJ31,OUT035,3884.2571569253837
FDG52,OUT046,742.4537845340685
NCL19,OUT019,287.720257164452
FDS10,OUT035,3023.2055639119963
FDX22,OUT010,563.5550132180103
NCF19,OUT035,736.3737030704757
NCE06,OUT046,2544.778312555849
DRC27,OUT046,3889.3309075034217
FDE21,OUT035,1959.4832682697256
NCR42,OUT019,129.6465200166299
FDX51,OUT018,3058.16962625462
NCR06,OUT018,666.1930874275106
FDU31,OUT027,5828.06870010192
FDU59,OUT017,2550.356527291906
FDR03,OUT027,5830.164336274087
FDS49,OUT027,2087.326885311351
FDD48,OUT010,266.4272273794552
NCF18,OUT017,3058.16962625462
NCD43,OUT027,2837.7976873673865
NCD54,OUT018,2132.8933760102323
FDY19,OUT010,267.0866625812622
NCY54,OUT017,2840.237720918737
NCL19,OUT018,2479.1797740374896
FDP23,OUT010,570.5902212215142
FDC26,OUT013,1695.363394798366
FDR14,OUT010,129.6465200166299
NCS41,OUT035,3058.16962625462
FDF41,OUT035,3916.371807515336
FDU34,OUT046,2016.492560111249
DRH11,OUT046,953.9539796847613
FDM03,OUT013,1575.3443506384692
FDS31,OUT017,3033.9117779043236
FDJ20,OUT017,2016.492560111249
FDV44,OUT027,5160.834121644576
FDG02,OUT049,3061.752065203207
FDA09,OUT013,2966.5010184862012
FDT04,OUT013,704.6357901487899
FDL58,OUT019,569.7608815593538
FDE52,OUT045,1495.0564809994746
FDW12,OUT035,2479.1797740374896
FDL51,OUT017,3673.415715399016
NCY42,OUT027,3014.841591826341
FDR07,OUT017,1526.4332035588131
FDN40,OUT045,2504.9062146762762
FDB35,OUT027,2710.389851420786
FDA22,OUT017,2557.0668491515094
NCL06,OUT046,4068.5476375726603
FDI35,OUT013,3033.9117779043236
NCW42,OUT045,3778.5256960400493
NCX06,OUT049,2978.128841904482
FDC37,OUT027,2883.7305599260058
FDZ14,OUT018,2016.492560111249
DRG49,OUT049,3876.6195280260895
NCG06,OUT045,4042.4408505030424
DRC36,OUT045,2840.237720918737
FDV21,OUT019,282.087528926516
FDB53,OUT046,2488.262352145023
DRP47,OUT019,573.6735409224098
FDA14,OUT013,2483.258533105246
DRC24,OUT035,2504.9062146762762
FDW21,OUT018,1550.1388037979173
NCH29,OUT046,1526.4332035588131
FDU58,OUT013,3060.1106054080306
FDY27,OUT017,2875.2721662534827
FDV56,OUT035,1580.5671570257682
FDT59,OUT046,3807.018716988767
FDB23,OUT046,3778.938913346201
FDR49,OUT045,735.9801915818416
FDB03,OUT010,574.1939322309338
FDN39,OUT045,2552.586182943362
FDX02,OUT027,5832.088527275442
FDQ16,OUT027,2877.241651444758
FDU35,OUT018,1528.4756107323117
NCT29,OUT013,2016.492560111249
FDZ27,OUT046,742.4537845340685
FDN57,OUT017,2029.793714716783
FDA03,OUT018,2488.262352145023
FDZ36,OUT045,3060.1106054080306
NCU05,OUT013,1482.8123008134387
FDT39,OUT018,2490.1913122766673
FDK60,OUT017,1526.4332035588131
FDZ25,OUT017,2735.3271779094816
FDG12,OUT046,2016.492560111249
DRB01,OUT019,504.89629947473315
NCC43,OUT027,5832.088527275442
FDX13,OUT019,570.06982991299
FDM22,OUT049,859.909323457742
FDJ03,OUT027,1041.9181773899854
FDU14,OUT018,3820.4607789215265
FDB33,OUT010,380.38270502103654
FDP27,OUT046,3060.1106054080306
FDO38,OUT010,157.96606718033462
FDE28,OUT027,5832.088527275442
FDO27,OUT035,1526.4332035588131
DRL23,OUT027,2873.2823250010824
FDS28,OUT046,953.9539796847613
FDX24,OUT013,1537.819264135478
FDZ02,OUT035,1526.4332035588131
FDL46,OUT045,1959.4832682697256
FDS60,OUT027,4815.216982159399
NCO06,OUT017,659.8245299256582
FDO16,OUT035,1435.7654548745152
FDC60,OUT049,1465.6174290064312
FDA48,OUT018,3524.2438967687135
FDZ36,OUT027,5160.834121644576
FDK27,OUT045,2016.492560111249
FDW23,OUT018,662.7117025234346
FDM14,OUT018,1660.69608155217
FDM14,OUT013,1575.3443506384692
FDW60,OUT018,2875.2721662534827
FDE21,OUT013,1959.4832682697256
NCM42,OUT035,1580.5671570257682
FDY59,OUT010,228.2626309936023
DRI49,OUT049,1380.2240557957955
FDT28,OUT019,368.5429142118957
FDQ22,OUT018,665.3596658598321
FDR60,OUT049,1309.7503647822869
FDC50,OUT019,238.9154288402981
FDV24,OUT013,2492.6238157810526
DRF48,OUT010,493.93597557711325
FDQ47,OUT046,669.8309006301203
DRN36,OUT049,1526.4332035588131
NCY06,OUT035,2021.8277871054663
FDE52,OUT035,1495.0564809994746
NCB54,OUT045,2021.8277871054663
NCF31,OUT035,2500.2420215024945
FDJ08,OUT027,5156.814294471053
NCC07,OUT017,1565.4328667354619
NCD19,OUT027,1234.4150914744987
FDL46,OUT049,1988.0535668933321
FDM20,OUT045,3925.881451928165
NCI06,OUT010,449.89047527844446
DRM11,OUT035,4081.988610796757
NCH07,OUT018,2531.0777152861624
FDS23,OUT013,2026.6262969703755
FDO49,OUT018,733.6882241439884
FDS35,OUT049,1073.7941992054082
DRK39,OUT045,1406.2206913878085
DRI39,OUT049,916.1334810852727
FDV04,OUT017,2531.0777152861624
NCN14,OUT035,3058.16962625462
FDH08,OUT013,3793.5404191605685
