Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1805.4422196721314
FDW14,OUT017,1435.9121343750005
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.110232432434
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1465.0074654867256
FDA36,OUT017,2752.970934653464
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1435.9121343750005
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.8398258992793
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.2957751824797
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.108064242424
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485994
DRC27,OUT046,3643.519725984252
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992793
NCR06,OUT018,507.04640366972524
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485994
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1805.4422196721314
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.108064242424
FDF41,OUT035,3737.2957751824797
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1461.843796
FDS31,OUT017,3384.108064242424
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653464
FDA09,OUT013,3259.56208490566
FDT04,OUT013,507.04640366972524
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.9121343750005
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.519725984252
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1822.0213526011555
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4572.0122836363635
FDI35,OUT013,3384.108064242424
NCW42,OUT045,4340.21835841584
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3454.0625591549283
NCG06,OUT045,4091.1612340000006
DRC36,OUT045,3259.56208490566
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.099877777777
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.099877777777
DRC24,OUT035,2644.4778427083334
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1673.2425140186924
FDU58,OUT013,2893.8398258992793
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1822.0213526011555
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242424
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.843796
FDZ25,OUT017,3053.099877777777
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539684
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.591252727273
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1822.0213526011555
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040937
FDX24,OUT013,1435.9121343750005
FDZ02,OUT035,1822.0213526011555
FDL46,OUT045,1827.832845454545
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1435.9121343750005
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.832845454545
FDW23,OUT018,507.04640366972524
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1805.4422196721314
FDW60,OUT018,3259.56208490566
FDE21,OUT013,1922.1493817142853
NCM42,OUT035,1822.0213526011555
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1202.6567333333332
FDT28,OUT019,346.8972837209304
FDQ22,OUT018,507.04640366972524
FDR60,OUT049,1202.6567333333332
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2503.5013364485994
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617886
DRN36,OUT049,1673.2425140186924
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.9121343750005
NCB54,OUT045,1827.832845454545
NCF31,OUT035,2286.413267368421
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1822.0213526011555
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.21835841584
NCI06,OUT010,425.9355914529916
DRM11,OUT035,4572.0122836363635
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.8586545454549
FDS35,OUT049,1103.1862133333327
DRK39,OUT045,1435.9121343750005
DRI39,OUT049,796.6402682539684
FDV04,OUT017,2503.5013364485994
NCN14,OUT035,3384.108064242424
FDH08,OUT013,3643.519725984252
FDS20,OUT046,3384.108064242424
FDV40,OUT049,1103.1862133333327
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2552.0052351851864
FDS48,OUT045,3053.099877777777
FDK26,OUT010,482.69954262295073
FDD23,OUT045,3391.591252727273
NCH54,OUT017,2644.4778427083334
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2503.5013364485994
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1822.0213526011555
FDF50,OUT018,2893.8398258992793
FDG28,OUT035,4340.21835841584
NCE19,OUT017,935.0323883040937
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1805.4422196721314
FDF32,OUT035,3130.0049049504946
FDF11,OUT013,3945.4325672131163
DRI59,OUT049,4340.21835841584
NCG54,OUT035,2644.4778427083334
FDM44,OUT046,1673.2425140186924
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2503.5013364485994
FDI50,OUT019,584.7577647727273
FDS09,OUT035,713.8586545454549
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,584.7577647727273
FDC22,OUT017,3391.591252727273
FDZ56,OUT046,2644.4778427083334
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.832845454545
FDV45,OUT017,2939.348476190476
FDL26,OUT045,3053.099877777777
FDA56,OUT018,1752.2524399999998
FDN27,OUT046,1922.1493817142853
FDM20,OUT049,4340.21835841584
FDO16,OUT017,1435.9121343750005
FDL03,OUT035,3130.0049049504946
FDE58,OUT046,1922.1493817142853
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1284.789766871165
FDR45,OUT013,3945.4325672131163
NCN07,OUT017,2243.669596721312
FDM51,OUT019,219.21852093023253
FDT52,OUT027,6280.890879999999
FDL26,OUT046,3053.099877777777
NCZ42,OUT046,3945.4325672131163
DRI47,OUT019,346.8972837209304
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,3053.099877777777
FDS01,OUT035,2778.589317525773
NCG55,OUT045,1827.832845454545
FDC11,OUT035,1284.789766871165
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2644.4778427083334
FDR09,OUT019,584.7577647727273
FDC53,OUT017,1822.0213526011555
FDY45,OUT013,4091.1612340000006
FDA22,OUT010,425.9355914529916
FDE02,OUT035,1822.0213526011555
FDW21,OUT045,1461.843796
FDV34,OUT046,1103.1862133333327
FDS59,OUT049,1805.4422196721314
NCW17,OUT017,2243.669596721312
NCK54,OUT046,1922.1493817142853
FDG17,OUT019,584.7577647727273
FDG35,OUT017,3259.56208490566
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3643.519725984252
FDJ10,OUT010,281.4820818181818
FDW36,OUT017,1822.0213526011555
FDW21,OUT010,219.21852093023253
FDY19,OUT017,1922.1493817142853
DRE03,OUT013,798.2176035398229
NCC55,OUT049,677.1027476190475
FDH52,OUT010,165.91858165137612
FDO09,OUT017,3978.616861261262
FDU43,OUT045,4340.21835841584
FDX09,OUT010,425.9355914529916
FDH40,OUT019,219.21852093023253
FDW58,OUT017,1822.0213526011555
FDC47,OUT017,3737.2957751824797
NCR41,OUT035,1461.843796
DRG49,OUT035,3737.2957751824797
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.1862133333327
FDY35,OUT013,507.04640366972524
FDI35,OUT017,3384.108064242424
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.317712631579
FDU01,OUT049,2752.970934653464
NCU42,OUT046,2649.110232432434
NCV29,OUT018,3259.56208490566
